Test Data File:/home/tmsa7/Downloads/cbc_binary.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency (Monobit) Test                      	0.10671769566368432 	Random
02. Frequency Test within a Block                 	0.49030075489371333 	Random
03. Runs Test                                     	0.6028330659952019  	Random
04. Test for the Longest Run of Ones in a Block   	0.7041000245401576  	Random
05. Binary Matrix Rank Test                       	0.5400089595762295  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.6027058955266553  	Random
07. Non-overlapping Template Matching Test        	0.5743952663734914  	Random
08. Overlapping Template Matching Test            	0.516613217585028   	Random
09. Maurer's "Universal Statistical" Test         	-1.0                	Non-Random
10. Linear Complexity Test                        	0.07963563310138155 	Random
11. Serial Test:
													0.07474900733245553 	Random
													0.00860613144458833 	Non-Random
12. Approximate Entropy Test                      	0.7882887502618529  	Random
13. Cumulative Sums Test (Forward)                	0.10896984087538278 	Random
14. Cumulative Sums Test (Backward)               	0.16510080055641918 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	2.2570053175517955  	0.812560460275951   	Random
				-3        	4.644130232558139   	0.4608338620144613  	Random
				-2        	3.907838070628768   	0.5627599781678775  	Random
				-1        	3.9767441860465116  	0.5527690713077915  	Random
				+1        	2.604651162790697   	0.7606584542518015  	Random
				+2        	8.92334194659776    	0.11216113325682661 	Random
				+3        	6.555590697674417   	0.2558437989760879  	Random
				+4        	3.8896390070028963  	0.5654122815086509  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	108                 	0.40264582936273463 	Random
				-8.0      	112                 	0.4035662283485669  	Random
				-7.0      	106                 	0.323669505274661   	Random
				-6.0      	121                 	0.4070611129985562  	Random
				-5.0      	130                 	0.45035134358487394 	Random
				-4.0      	133                 	0.42675273475591446 	Random
				-3.0      	127                 	0.27790112726840965 	Random
				-2.0      	125                 	0.14345476637817572 	Random
				-1.0      	145                 	0.14546383348396352 	Random
				+1.0      	192                 	0.2808875253195704  	Random
				+2.0      	178                 	0.8518395252973694  	Random
				+3.0      	175                 	0.9423341789847643  	Random
				+4.0      	198                 	0.5962225607001633  	Random
				+5.0      	194                 	0.6925574233310476  	Random
				+6.0      	197                 	0.684441332532677   	Random
				+7.0      	189                 	0.7993308866537634  	Random
				+8.0      	160                 	0.8673277064054595  	Random
				+9.0      	154                 	0.8139141170577575  	Random
